onset	trial_type	obj_pair	reaction_time
14	catch	13	401.8324000062421
30	catch	4	426.9962999969721
44	catch	14	491.55399994924664
46	catch	10	811.5686000091955
48	catch	9	564.1167999710888
116	catch	7	486.3689999911003
164	catch	4	392.540100030601
166	catch	8	585.1103999884799
198	catch	11	514.6349999704398
208	catch	10	498.8285000436008
220	catch	5	667.3914999701083
232	catch	6	404.1870000073686
242	catch	16	460.80920001259074
254	catch	16	509.52430005418137
278	catch	9	517.9228999768384
334	catch	1	496.98320002062246
