onset	trial_type	obj_pair	reaction_time
18	catch	6	588.2632000138983
52	catch	3	626.056999899447
76	catch	9	705.1945999264717
120	catch	2	630.6674999650568
148	catch	7	548.7247999990359
156	catch	12	548.4771000919864
238	catch	12	663.7284000171348
240	catch	4	551.5877000289038
280	catch	14	550.1085000578314
284	catch	6	533.8596999645233
300	catch	5	588.9787999913096
304	catch	13	668.5716999927536
316	catch	4	611.5952000254765
330	catch	5	643.5802999185398
334	catch	14	642.8836999693885
354	catch	7	682.1184000000358
