onset	trial_type	obj_pair	reaction_time
16	catch	16	615.2472998946905
44	catch	15	581.3525000121444
50	catch	9	460.8692000620067
54	catch	8	548.1263999827206
64	catch	9	419.7410000488162
84	catch	4	546.1977000813931
142	catch	9	398.13089999370277
176	catch	3	636.9798998348415
216	catch	5	482.5679000932723
266	catch	13	623.5011001117527
276	catch	1	615.6002001371235
292	catch	10	542.2878998797387
302	catch	8	550.172199960798
308	catch	4	678.0699999071658
316	catch	3	453.35970004089177
326	catch	10	412.95960010029376
