onset	trial_type	obj_pair	reaction_time
14	catch	13	595.410166142301
30	catch	4	513.5826577520675
44	catch	14	473.92776770493583
46	catch	10	432.7587599495928
48	catch	9	360.7254913072211
116	catch	7	601.8709371951445
164	catch	4	573.1852565186273
166	catch	8	501.5839554394006
198	catch	11	497.9492696938905
208	catch	10	482.7308917942901
220	catch	5	456.252351166313
232	catch	6	512.3925157158737
242	catch	16	527.7594940266681
254	catch	16	486.86180474078355
278	catch	9	523.7602240877095
334	catch	1	638.3409589593612
