onset	trial_type	obj_pair	reaction_time
18	catch	6	650.9197000414133
52	catch	3	699.9800000339746
76	catch	9	725.3380999900401
120	catch	2	551.055800053291
148	catch	7	608.7523000314832
156	catch	12	609.2290000524372
238	catch	12	764.1278000082821
240	catch	4	516.8112000683323
280	catch	14	566.6371999541298
284	catch	6	486.8694000178948
300	catch	5	575.681300018914
304	catch	13	559.4538999721408
316	catch	4	464.42600002046674
330	catch	5	592.7472000475973
334	catch	14	512.9400000441819
354	catch	7	633.6601000512019
