onset	trial_type	obj_pair	reaction_time
48	catch	2	757.056999951601
76	catch	11	582.3075000662357
92	catch	12	623.2083999784663
126	catch	6	800.2366999862716
132	catch	14	760.5070999125019
136	catch	13	632.8627000330016
172	catch	2	610.2604999905452
180	catch	8	691.3471999578178
200	catch	3	563.9266000362113
212	catch	6	564.6701999939978
218	catch	15	612.9866000264883
240	catch	10	846.0761000169441
278	catch	7	630.9601999819279
294	catch	8	456.1265000374988
296	catch	5	640.1043999940157
298	catch	13	567.966099944897
