onset	trial_type	obj_pair	reaction_time
16	catch	16	812.3592647634723
44	catch	15	501.96482678893517
50	catch	9	525.9211659549692
54	catch	8	462.22650619620254
64	catch	9	428.8030309116948
84	catch	4	403.61728047992074
142	catch	9	445.9558839935198
176	catch	3	404.3080712744995
216	catch	5	450.4326367414251
266	catch	13	557.9572584347261
276	catch	1	412.5748022015614
292	catch	10	459.06707542962977
302	catch	8	467.26419177866774
308	catch	4	465.33551101947523
316	catch	3	457.20354677359865
326	catch	10	607.8575221672509
