onset	trial_type	obj_pair	reaction_time
14	catch	13	571.2353999260813
30	catch	4	571.0392000619322
44	catch	14	474.08730001188815
46	catch	10	514.0883000567555
48	catch	9	473.48399995826185
116	catch	7	589.9255000986159
164	catch	4	562.8080000169575
166	catch	8	522.7915998548269
198	catch	11	488.67009999230504
208	catch	10	560.3020000271499
220	catch	5	567.5496999174356
232	catch	6	574.7851000633091
242	catch	16	573.8347000442445
254	catch	16	477.392400149256
278	catch	9	507.8332999255508
334	catch	1	503.50739993155
