onset	trial_type	obj_pair	reaction_time
40	catch	2	641.477346256579
58	catch	9	568.0794855652493
72	catch	14	799.4961868171231
120	catch	10	619.7500122689235
162	catch	13	624.2236412908824
170	catch	16	695.0247890345054
188	catch	11	580.4958699809504
208	catch	11	940.5808354640612
236	catch	15	826.6962974885246
242	catch	15	592.367386463593
246	catch	1	744.4457831843465
302	catch	12	563.3836254019116
312	catch	5	674.4875965559913
322	catch	8	593.1688465861953
330	catch	2	730.3564177054795
336	catch	6	785.6000464089448
