onset	trial_type	obj_pair	reaction_time
26	catch	1	585.2961192022121
108	catch	15	482.7960132179214
122	catch	10	497.85957012954896
134	catch	2	384.37327776046004
176	catch	14	565.3412349029168
182	catch	1	461.3082660798682
216	catch	14	474.68054201272025
218	catch	12	571.0023405717948
256	catch	16	486.98182207590435
280	catch	5	484.6622235208997
292	catch	15	460.07037335311907
330	catch	7	488.9734281468918
336	catch	2	496.8898726183397
338	catch	12	447.77489451735164
350	catch	3	407.0627715136652
358	catch	8	470.6277151417453
