onset	trial_type	obj_pair	reaction_time
26	catch	1	522.5323640843271
108	catch	15	484.03550343391544
122	catch	10	467.10398900449945
134	catch	2	458.4575016397139
176	catch	14	422.26372321965755
182	catch	1	422.47792191483313
216	catch	14	403.4361040830845
218	catch	12	474.5652435840384
256	catch	16	415.2081074207672
280	catch	5	453.8290248156045
292	catch	15	428.167574780673
330	catch	7	409.31050332255836
336	catch	2	448.10634965324425
338	catch	12	480.2437402659052
350	catch	3	399.46093328126153
358	catch	8	407.7522078077891
