onset	trial_type	obj_pair	reaction_time
18	catch	3	596.607628151105
44	catch	11	609.1378056235044
48	catch	14	777.2346948340783
80	catch	1	453.8839132319481
118	catch	11	410.73358590892894
128	catch	11	458.65742042315105
134	catch	6	425.2156490001653
154	catch	9	527.9096438503075
166	catch	13	456.34005827969304
168	catch	15	399.6041786595015
180	catch	1	422.050417018454
196	catch	3	404.8181319194555
198	catch	7	428.46789920167794
236	catch	11	499.15748512876235
290	catch	7	605.5879084838125
318	catch	4	532.6099664866888
