onset	trial_type	obj_pair	reaction_time
40	catch	2	659.2031000182033
58	catch	9	449.8810000368394
72	catch	14	521.1845999583602
120	catch	10	445.7270999555476
162	catch	13	499.29829995380715
170	catch	16	635.3265999932773
188	catch	11	458.59470003051683
208	catch	11	665.4164000065066
236	catch	15	431.5972999902442
242	catch	15	551.4541000011377
246	catch	1	487.5942000071518
302	catch	12	556.4553999574855
312	catch	5	467.931299994234
322	catch	8	658.9820000226609
330	catch	2	442.81999999657273
336	catch	6	426.30170000484213
