onset	trial_type	obj_pair	reaction_time
26	catch	1	533.361714698458
108	catch	15	495.5377443152429
122	catch	10	600.1217364218974
134	catch	2	422.87654061510693
176	catch	14	669.0014355790481
182	catch	1	507.03576721389254
216	catch	14	511.92396650139926
218	catch	12	511.8797879608792
256	catch	16	556.7339474600885
280	catch	5	506.839864394351
292	catch	15	457.7320700950622
330	catch	7	559.0316777984299
336	catch	2	590.7831070189786
338	catch	12	436.7985820026661
350	catch	3	470.56615914925715
358	catch	8	390.3946036139132
