onset	trial_type	obj_pair	reaction_time
20	catch	5	666.7426776234606
54	catch	10	656.0768975034534
104	catch	1	459.47998688029656
154	catch	8	487.9939131735682
160	catch	16	438.41662185604946
162	catch	15	470.9101903024475
204	catch	6	587.5081719216269
220	catch	16	450.39392566854985
236	catch	2	503.4108987217678
272	catch	4	532.9851109261199
278	catch	13	421.4475847927588
304	catch	7	553.9270964186471
318	catch	12	481.44745091826735
334	catch	12	719.7592044285557
336	catch	3	671.760293274474
338	catch	16	446.38840111474565
