onset	trial_type	obj_pair	reaction_time
18	catch	3	612.083800137043
44	catch	11	675.0574000179768
48	catch	14	626.7173998057842
80	catch	1	688.8955999165773
118	catch	11	790.3639997821301
128	catch	11	669.9467001017183
134	catch	6	661.6247000638396
154	catch	9	604.3665998149663
166	catch	13	771.8962000217289
168	catch	15	659.8573001101613
180	catch	1	546.7710001394153
196	catch	3	570.0902999378741
198	catch	7	649.9228999018669
236	catch	11	800.0845999922603
290	catch	7	548.9767000544816
318	catch	4	658.7821000721306
