onset	trial_type	obj_pair	reaction_time
40	catch	2	529.9246001522988
58	catch	9	464.62270012125373
72	catch	14	0.0
120	catch	10	396.5567999985069
162	catch	13	521.3558999821544
170	catch	16	440.6678001396358
188	catch	11	447.54229998216033
208	catch	11	415.05359997972846
236	catch	15	429.53409999608994
242	catch	15	484.44969998672605
246	catch	1	412.2413001023233
302	catch	12	537.1200998779386
312	catch	5	520.0529999565333
322	catch	8	575.6574000697583
330	catch	2	1071.1850000079721
336	catch	6	438.8019999023527
