onset	trial_type	obj_pair	reaction_time
26	catch	1	604.0394304100118
108	catch	15	653.9004243813906
122	catch	10	885.648687363755
134	catch	2	812.4239706185108
176	catch	14	824.977799197768
182	catch	1	800.5944013821136
216	catch	14	774.0190369095217
218	catch	12	830.1591764065961
256	catch	16	779.1107184129942
280	catch	5	736.8863542051258
292	catch	15	847.5721916547627
330	catch	7	749.8136917593001
336	catch	2	661.0850056449635
338	catch	12	972.0559951092582
350	catch	3	580.673030152866
358	catch	8	723.2494834688623
