onset	trial_type	obj_pair	reaction_time
40	catch	2	417.95179998734966
58	catch	9	360.35989999072626
72	catch	14	431.69870000565425
120	catch	10	412.53540001343936
162	catch	13	385.6173000240233
170	catch	16	393.6458000098355
188	catch	11	361.15630000131205
208	catch	11	391.9859000016004
236	catch	15	453.9997999963816
242	catch	15	438.2645000005141
246	catch	1	406.04470000835136
302	catch	12	363.25170000782236
312	catch	5	442.29860001360066
322	catch	8	417.45950002223253
330	catch	2	361.1475999932736
336	catch	6	328.358600003412
