onset	trial_type	obj_pair	reaction_time
48	catch	2	459.2086998745799
76	catch	11	452.56919995881617
92	catch	12	500.684899976477
126	catch	6	430.7770000305027
132	catch	14	535.3178998921067
136	catch	13	446.940999943763
172	catch	2	648.7630000337958
180	catch	8	473.8449000287801
200	catch	3	529.7924999613315
212	catch	6	586.6549999918789
218	catch	15	482.88209992460907
240	catch	10	499.9229998793453
278	catch	7	430.05209998227656
294	catch	8	598.1733999215066
296	catch	5	542.8676998708397
298	catch	13	566.8987000826746
