onset	trial_type	obj_pair	reaction_time
16	catch	16	710.0057999778073
44	catch	15	463.75979998265393
50	catch	9	464.18459998676553
54	catch	8	543.9791000098921
64	catch	9	456.75839998875745
84	catch	4	441.9299000001047
142	catch	9	524.0502000087872
176	catch	3	517.7514999813866
216	catch	5	551.5905999927782
266	catch	13	521.4114999980666
276	catch	1	450.6679000041913
292	catch	10	459.1247999924235
302	catch	8	491.97849998017773
308	catch	4	467.57370000705123
316	catch	3	419.6415999904275
326	catch	10	396.2881999905221
