onset	trial_type	obj_pair	reaction_time
48	catch	2	564.3819999822881
76	catch	11	565.6095999875106
92	catch	12	542.5262000062503
126	catch	6	751.6468999965582
132	catch	14	679.9740999995265
136	catch	13	575.6516999972519
172	catch	2	577.812300005462
180	catch	8	498.1786999851465
200	catch	3	475.2691999892704
212	catch	6	699.738499999512
218	catch	15	700.0509999925271
240	catch	10	797.1441999834497
278	catch	7	526.3053000089712
294	catch	8	654.9020000093151
296	catch	5	663.1310000084341
298	catch	13	615.4060999979265
