onset	trial_type	obj_pair	reaction_time
20	catch	5	483.48840426479
54	catch	10	440.141281889737
104	catch	1	484.8561521885131
154	catch	8	456.8590438702813
160	catch	16	439.45495356820174
162	catch	15	519.8919189078879
204	catch	6	701.4351312645886
220	catch	16	531.673293438871
236	catch	2	497.05744541279273
272	catch	4	581.4744902745588
278	catch	13	421.2775167216023
304	catch	7	547.2959645849187
318	catch	12	457.17632568994304
334	catch	12	520.9267663576611
336	catch	3	480.6525027779571
338	catch	16	398.88036556476436
