onset	trial_type	obj_pair	reaction_time
26	catch	1	578.8532337310244
108	catch	15	660.5227340678539
122	catch	10	523.1901325801118
134	catch	2	530.264044517935
176	catch	14	695.0484401427275
182	catch	1	511.8933825988279
216	catch	14	484.342075317727
218	catch	12	651.7994921705395
256	catch	16	480.3932331060423
280	catch	5	622.2958530238429
292	catch	15	509.4318825836126
330	catch	7	546.4480947471202
336	catch	2	449.79851935158877
338	catch	12	498.62154214133625
350	catch	3	456.8648450854198
358	catch	8	511.26506642413005
