onset	trial_type	obj_pair	reaction_time
20	catch	5	756.088700145483
54	catch	10	898.3710000757128
104	catch	1	679.8293001484126
154	catch	8	917.2861000988632
160	catch	16	756.969999987632
162	catch	15	900.8325999602675
204	catch	6	777.0892998669297
220	catch	16	729.0221999865025
236	catch	2	776.4506998937577
272	catch	4	750.7744999602437
278	catch	13	678.5624001640826
304	catch	7	780.639800010249
318	catch	12	796.3483999483287
334	catch	12	747.5291001610458
336	catch	3	827.065700199455
338	catch	16	667.2601997852325
