onset	trial_type	obj_pair	reaction_time
16	catch	16	576.0261999967042
44	catch	15	545.5583000148181
50	catch	9	481.56030001700856
54	catch	8	417.84609999740496
64	catch	9	457.70830000401475
84	catch	4	570.0333999993745
142	catch	9	581.7431000177749
176	catch	3	687.6607000012882
216	catch	5	568.6749999877065
266	catch	13	451.41169999260455
276	catch	1	587.6794999931008
292	catch	10	532.6028999988921
302	catch	8	565.0100999628194
308	catch	4	565.0272000348195
316	catch	3	461.37799997814
326	catch	10	502.3861000081524
