onset	trial_type	obj_pair	reaction_time
26	catch	1	355.78360001090914
108	catch	15	447.9002000007313
122	catch	10	390.69909998215735
134	catch	2	414.22289999900386
176	catch	14	403.1302999937907
182	catch	1	450.9937000111677
216	catch	14	425.7705999771133
218	catch	12	417.89260000223294
256	catch	16	439.6802000119351
280	catch	5	342.41079998901114
292	catch	15	381.4289000001736
330	catch	7	435.716300009517
336	catch	2	386.50459999917075
338	catch	12	410.34210001816973
350	catch	3	506.5279000264127
358	catch	8	426.0000000067521
