onset	trial_type	obj_pair	reaction_time
18	catch	3	578.4052000381052
44	catch	11	577.6360998861492
48	catch	14	457.5712999794632
80	catch	1	487.4899999704212
118	catch	11	588.1145999301225
128	catch	11	483.3543000277132
134	catch	6	403.0977999791503
154	catch	9	657.9781000036746
166	catch	13	633.3386998157948
168	catch	15	944.6036999579519
180	catch	1	432.3459998704493
196	catch	3	423.43050008639693
198	catch	7	471.3507001288235
236	catch	11	445.19710005261004
290	catch	7	857.8323000110686
318	catch	4	544.1598000470549
