onset	trial_type	obj_pair	reaction_time
20	catch	5	675.4661998711526
54	catch	10	449.49500006623566
104	catch	1	622.2312999889255
154	catch	8	554.6544000972062
160	catch	16	483.0775000154972
162	catch	15	618.7674000393599
204	catch	6	559.1642998624593
220	catch	16	462.818699888885
236	catch	2	573.1062998529524
272	catch	4	426.2310001067817
278	catch	13	529.9778000917286
304	catch	7	471.61930007860065
318	catch	12	511.2656999845058
334	catch	12	477.92760003358126
336	catch	3	518.1094000581652
338	catch	16	453.6940997932106
