onset	trial_type	obj_pair	reaction_time
14	catch	13	467.8568081708363
30	catch	4	465.8174580854393
44	catch	14	441.580875627551
46	catch	10	431.8468836318061
48	catch	9	487.66126261216414
116	catch	7	464.0141728123126
164	catch	4	539.6919108770817
166	catch	8	485.6598435453634
198	catch	11	522.5283478594065
208	catch	10	825.4356489105703
220	catch	5	488.9348523593071
232	catch	6	630.7504540563968
242	catch	16	503.2192279031733
254	catch	16	1445.3713000511925
278	catch	9	427.34424854097597
334	catch	1	557.8572990434623
