onset	trial_type	obj_pair	reaction_time
18	catch	3	588.3036000013817
44	catch	11	475.27830000035465
48	catch	14	482.79399998136796
80	catch	1	504.6917999861762
118	catch	11	502.3308000236284
128	catch	11	477.83470002468675
134	catch	6	493.15500000375323
154	catch	9	612.5286000024062
166	catch	13	507.79780000448227
168	catch	15	523.6029000079725
180	catch	1	530.7451999979094
196	catch	3	506.36929998290725
198	catch	7	562.1221000037622
236	catch	11	495.8541999803856
290	catch	7	669.2191000038292
318	catch	4	643.7893999973312
