onset	trial_type	obj_pair	reaction_time
18	catch	6	460.04947099572746
52	catch	3	521.1117452781764
76	catch	9	559.0423350531637
120	catch	2	603.577387569203
148	catch	7	473.6564492359321
156	catch	12	440.1410320551804
238	catch	12	545.2073243486666
240	catch	4	448.4247240743571
280	catch	14	484.41993851611187
284	catch	6	403.9967709531993
300	catch	5	482.86699727668747
304	catch	13	474.4784370986963
316	catch	4	368.39336180128157
330	catch	5	529.0022932658758
334	catch	14	432.1456159086665
354	catch	7	532.856532772712
