onset	trial_type	obj_pair	reaction_time
18	catch	3	459.02399428109675
44	catch	11	497.4972209938642
48	catch	14	488.94622673196864
80	catch	1	630.4620134060315
118	catch	11	459.60411600844964
128	catch	11	507.5194932055638
134	catch	6	444.12602207398777
154	catch	9	505.50557831661536
166	catch	13	472.7362869264198
168	catch	15	536.1623341241284
180	catch	1	534.2224963173976
196	catch	3	454.01218880351735
198	catch	7	399.2018417525287
236	catch	11	467.03056661385745
290	catch	7	493.2186001306036
318	catch	4	435.42330366835813
