onset	trial_type	obj_pair	reaction_time
18	catch	6	435.79880002653226
52	catch	3	500.59460004558787
76	catch	9	453.6878999788314
120	catch	2	688.4791000047699
148	catch	7	505.6120000081137
156	catch	12	490.0457999901846
238	catch	12	573.5967999789864
240	catch	4	461.72589994966984
280	catch	14	591.6299000382423
284	catch	6	487.91239998536184
300	catch	5	664.8353000055067
304	catch	13	472.905799979344
316	catch	4	561.2954999669455
330	catch	5	466.1257000407204
334	catch	14	522.2677000565454
354	catch	7	466.7466000537388
