onset	trial_type	obj_pair	reaction_time
16	catch	16	523.7657915758973
44	catch	15	561.6227336222437
50	catch	9	489.1370023788113
54	catch	8	489.1798421176645
64	catch	9	400.0928194354856
84	catch	4	517.1568693067456
142	catch	9	711.8782101915713
176	catch	3	629.9539026558705
216	catch	5	506.3969548091336
266	catch	13	613.912651557257
276	catch	1	605.6490443615985
292	catch	10	572.8030130612751
302	catch	8	546.8385611202393
308	catch	4	458.5686172131318
316	catch	3	521.3953260054041
326	catch	10	631.4358898835053
