onset	trial_type	obj_pair	reaction_time
48	catch	2	480.0817525022012
76	catch	11	534.2195804382754
92	catch	12	444.9107728555646
126	catch	6	378.19011026772387
132	catch	14	418.8892012618908
136	catch	13	546.1473240779924
172	catch	2	486.5331494795555
180	catch	8	397.5840172072367
200	catch	3	491.6837356254291
212	catch	6	497.96332739833815
218	catch	15	562.2010701010822
240	catch	10	632.2257475758306
278	catch	7	501.30884328223146
294	catch	8	556.849672677572
296	catch	5	555.8969347273433
298	catch	13	499.5662476405869
