onset	trial_type	obj_pair	reaction_time
26	catch	1	636.6460998542607
108	catch	15	577.2207998670638
122	catch	10	673.6860000528395
134	catch	2	634.5474999397993
176	catch	14	515.4884001240134
182	catch	1	492.1458000317216
216	catch	14	525.9161000140011
218	catch	12	565.8872998319566
256	catch	16	583.6785002611578
280	catch	5	689.0365001745522
292	catch	15	529.7555001452565
330	catch	7	579.1902998462319
336	catch	2	515.2095998637378
338	catch	12	754.9036000855267
350	catch	3	756.0832002200186
358	catch	8	507.7750999480486
