onset	trial_type	obj_pair	reaction_time
20	catch	5	379.4093000178691
54	catch	10	401.6064000024926
104	catch	1	350.8997999888379
154	catch	8	420.28960000607185
160	catch	16	443.90650000423193
162	catch	15	411.44820000045
204	catch	6	369.543100008741
220	catch	16	424.26199998590164
236	catch	2	423.2727999915369
272	catch	4	469.11479998379946
278	catch	13	396.45430000382476
304	catch	7	387.5486000033561
318	catch	12	418.25000001699664
334	catch	12	377.6493000041228
336	catch	3	401.7229999881238
338	catch	16	329.448800010141
