onset	trial_type	obj_pair	reaction_time
40	catch	2	627.8505999944173
58	catch	9	539.045600045938
72	catch	14	562.1205000206828
120	catch	10	838.4557999670506
162	catch	13	691.8964999495074
170	catch	16	723.4835000126623
188	catch	11	618.5280000208877
208	catch	11	673.0958999833092
236	catch	15	631.8626999855042
242	catch	15	703.5708999610506
246	catch	1	814.9519999860786
302	catch	12	707.7820000122301
312	catch	5	667.4095999915153
322	catch	8	666.7142999940552
330	catch	2	650.2089999848977
336	catch	6	545.7907000090927
