onset	trial_type	obj_pair	reaction_time
40	catch	2	416.5036001086264
58	catch	9	384.32106671098154
72	catch	14	446.6833712267544
120	catch	10	434.03044752085407
162	catch	13	447.0568810356781
170	catch	16	469.7593159908138
188	catch	11	413.3678134512593
208	catch	11	451.88751865862287
236	catch	15	432.9911352779163
242	catch	15	488.6382956883608
246	catch	1	496.97778352856403
302	catch	12	427.372869444298
312	catch	5	458.58258159023535
322	catch	8	449.7696243251994
330	catch	2	441.77107017094386
336	catch	6	457.65750890859636
