onset	trial_type	obj_pair	reaction_time
14	catch	13	598.7963000079617
30	catch	4	567.5855000736192
44	catch	14	560.3747999994084
46	catch	10	616.4393000071868
48	catch	9	552.4683999828994
116	catch	7	579.4859000016004
164	catch	4	469.6229000110179
166	catch	8	549.767900025472
198	catch	11	1503.3701000502333
208	catch	10	503.80970002152026
220	catch	5	448.0764999752864
232	catch	6	512.8666000673547
242	catch	16	504.236500011757
254	catch	16	513.2535999873653
278	catch	9	626.5979000600055
334	catch	1	477.4675000226125
