onset	trial_type	obj_pair	reaction_time
18	catch	6	490.49510003533214
52	catch	3	499.37540001701564
76	catch	9	548.772000009194
120	catch	2	495.0413000769913
148	catch	7	528.3366000512615
156	catch	12	512.8314000321552
238	catch	12	1187.9712999798357
240	catch	4	492.34130000695586
280	catch	14	494.14329999126494
284	catch	6	750.441399984993
300	catch	5	503.25129996053874
304	catch	13	551.3899000361562
316	catch	4	512.0427999645472
330	catch	5	464.17089994065464
334	catch	14	528.9276000112295
354	catch	7	609.8857999313623
