onset	trial_type	obj_pair	reaction_time
20	catch	5	612.4471999937668
54	catch	10	666.2970000179484
104	catch	1	1055.7423999998719
154	catch	8	556.4530999981798
160	catch	16	588.0589000298642
162	catch	15	627.4583000340499
204	catch	6	602.0567999803461
220	catch	16	801.024199987296
236	catch	2	887.893199978862
272	catch	4	509.4540999853052
278	catch	13	557.0185999968089
304	catch	7	523.1396000017412
318	catch	12	730.3007000009529
334	catch	12	642.2458000015467
336	catch	3	842.2154000145383
338	catch	16	562.1492000063881
