onset	trial_type	obj_pair	reaction_time
40	catch	2	482.7176000108011
58	catch	9	409.95669999392703
72	catch	14	425.1487000146881
120	catch	10	509.8135999869555
162	catch	13	547.5733000203036
170	catch	16	442.69890000578016
188	catch	11	410.2251000003889
208	catch	11	441.1409999593161
236	catch	15	463.40830001281574
242	catch	15	582.9825000255369
246	catch	1	414.72319996682927
302	catch	12	666.9639999745414
312	catch	5	554.8001999850385
322	catch	8	498.14059998607263
330	catch	2	417.7760999882594
336	catch	6	465.3288000263274
