onset	trial_type	obj_pair	reaction_time
40	catch	2	626.0983000975102
58	catch	9	641.4381000213325
72	catch	14	544.5952001027763
120	catch	10	613.6866000015289
162	catch	13	523.3742001000792
170	catch	16	514.8583000991493
188	catch	11	497.803800040856
208	catch	11	528.8438000716269
236	catch	15	560.0866999011487
242	catch	15	527.5220000185072
246	catch	1	479.5065999496728
302	catch	12	500.41139987297356
312	catch	5	523.9831998478621
322	catch	8	547.4895001389086
330	catch	2	547.0149999018759
336	catch	6	522.6030999328941
