onset	trial_type	obj_pair	reaction_time
26	catch	1	522.4163001403213
108	catch	15	540.2951999567449
122	catch	10	460.3965000715107
134	catch	2	467.80039998702705
176	catch	14	545.4247000161558
182	catch	1	521.0221000015736
216	catch	14	463.6359999421984
218	catch	12	567.6482000853866
256	catch	16	597.4810998886824
280	catch	5	379.7569000162184
292	catch	15	475.1873000059277
330	catch	7	513.2959000766277
336	catch	2	553.359700134024
338	catch	12	512.9596998449415
350	catch	3	528.470000019297
358	catch	8	503.83750000037253
