onset	trial_type	obj_pair	reaction_time
26	catch	1	555.8909000828862
108	catch	15	462.2378998901695
122	catch	10	509.6547999419272
134	catch	2	524.9319998547435
176	catch	14	538.0216999910772
182	catch	1	497.0172999892384
216	catch	14	566.7993000242859
218	catch	12	646.8499000184238
256	catch	16	516.883100150153
280	catch	5	467.3043000511825
292	catch	15	498.4465001616627
330	catch	7	543.6472001019865
336	catch	2	503.4419000148773
338	catch	12	543.529300019145
350	catch	3	606.8564997985959
358	catch	8	573.3352999668568
