onset	trial_type	obj_pair	reaction_time
20	catch	5	819.1305999935139
54	catch	10	529.5706999895629
104	catch	1	422.7422999974806
154	catch	8	491.8556000047829
160	catch	16	499.42350000492297
162	catch	15	562.9875999875367
204	catch	6	528.6696999974083
220	catch	16	1119.4232999987435
236	catch	2	567.0712999999523
272	catch	4	492.53350001526996
278	catch	13	708.0544999917038
304	catch	7	602.909000008367
318	catch	12	770.1330999843776
334	catch	12	0.0
336	catch	3	448.22170000406913
338	catch	16	511.7182999965735
