onset	trial_type	obj_pair	reaction_time
18	catch	3	484.279099968262
44	catch	11	698.636399989482
48	catch	14	570.684899983462
80	catch	1	576.1635000235401
118	catch	11	589.8966999957338
128	catch	11	508.9765000157058
134	catch	6	668.8452999806032
154	catch	9	579.0909000206739
166	catch	13	586.5777000435628
168	catch	15	930.8888000086881
180	catch	1	762.0402000029571
196	catch	3	561.2971000373363
198	catch	7	641.2556999712251
236	catch	11	519.0269000013359
290	catch	7	548.5146999708377
318	catch	4	658.5334000410512
