onset	trial_type	obj_pair	reaction_time
26	catch	1	619.8803164784294
108	catch	15	593.136716780009
122	catch	10	583.5263352832953
134	catch	2	663.013686404156
176	catch	14	569.4499109736171
182	catch	1	521.5256302126363
216	catch	14	567.9224065220296
218	catch	12	527.13674355482
256	catch	16	612.6738690977618
280	catch	5	698.953996367436
292	catch	15	578.932219500075
330	catch	7	582.8333132521948
336	catch	2	663.2287775946679
338	catch	12	560.1121865670393
350	catch	3	647.4235913087796
358	catch	8	550.487525157223
