onset	trial_type	obj_pair	reaction_time
48	catch	2	552.5472967401583
76	catch	11	525.4461924978386
92	catch	12	453.04464044602355
126	catch	6	536.3748128547741
132	catch	14	513.8772058617178
136	catch	13	415.8877774825669
172	catch	2	500.70261791552184
180	catch	8	493.0976547420869
200	catch	3	515.0004127799548
212	catch	6	449.1082843760523
218	catch	15	472.28240376080066
240	catch	10	655.1545023103245
278	catch	7	579.7818292166994
294	catch	8	562.4794446885062
296	catch	5	585.2822855049453
298	catch	13	576.7870570143714
