onset	trial_type	obj_pair	reaction_time
16	catch	16	490.56831949565094
44	catch	15	448.6834560138959
50	catch	9	406.9619194024199
54	catch	8	407.6478030083308
64	catch	9	405.93331711988867
84	catch	4	476.3392468667007
142	catch	9	408.16991349493037
176	catch	3	660.3568647487918
216	catch	5	497.57530997521826
266	catch	13	492.9941251411947
276	catch	1	444.61411795691674
292	catch	10	1491.1417485345737
302	catch	8	385.82492341265606
308	catch	4	448.99404481657257
316	catch	3	880.1930470053776
326	catch	10	415.48392279037216
