onset	trial_type	obj_pair	reaction_time
18	catch	6	507.3880832133
52	catch	3	594.4796435014723
76	catch	9	439.3986182385561
120	catch	2	450.05769987619715
148	catch	7	455.6750707088213
156	catch	12	415.3097006292228
238	catch	12	713.1419167071726
240	catch	4	705.2906279859599
280	catch	14	508.70897752975
284	catch	6	394.8434249359707
300	catch	5	483.9564890280599
304	catch	13	466.24044024974864
316	catch	4	490.1758485193568
330	catch	5	433.1930924363405
334	catch	14	481.95372764348576
354	catch	7	472.69407998464885
