onset	trial_type	obj_pair	reaction_time
14	catch	13	492.41155139861803
30	catch	4	483.36654906597687
44	catch	14	433.58043577063654
46	catch	10	481.276769305623
48	catch	9	377.3692426184425
116	catch	7	516.2983186255587
164	catch	4	495.3492025088053
166	catch	8	736.0710355551419
198	catch	11	500.4319681429479
208	catch	10	546.7904499328142
220	catch	5	442.1283177416626
232	catch	6	448.90147110163525
242	catch	16	448.57347876313725
254	catch	16	495.5210080206598
278	catch	9	525.307621113825
334	catch	1	567.3758738648758
