onset	trial_type	obj_pair	reaction_time
16	catch	16	918.58699999284
44	catch	15	605.1520000037272
50	catch	9	427.8714999963995
54	catch	8	572.0807999896351
64	catch	9	402.99959998810664
84	catch	4	369.185000017751
142	catch	9	493.5778999933973
176	catch	3	500.52400000276975
216	catch	5	538.2538999838289
266	catch	13	511.3621999917086
276	catch	1	446.66360001428984
292	catch	10	461.39989999937825
302	catch	8	421.18820000905544
308	catch	4	460.83560000988655
316	catch	3	539.9697999819182
326	catch	10	436.086300003808
