onset	trial_type	obj_pair	reaction_time
16	catch	16	908.4188998676836
44	catch	15	461.143699940294
50	catch	9	493.2400998659432
54	catch	8	573.7664999905974
64	catch	9	414.03859993442893
84	catch	4	423.2944999821484
142	catch	9	434.08549996092916
176	catch	3	411.7961002048105
216	catch	5	428.3894000109285
266	catch	13	847.3592000082135
276	catch	1	496.22260010801256
292	catch	10	480.8503999374807
302	catch	8	385.1574999280274
308	catch	4	369.2930999677628
316	catch	3	418.03760011680424
326	catch	10	370.24420010857284
