onset	trial_type	obj_pair	reaction_time
48	catch	2	456.2660998199135
76	catch	11	457.54180010408163
92	catch	12	434.6326000522822
126	catch	6	468.0368001572788
132	catch	14	524.1629001684487
136	catch	13	740.3123998083174
172	catch	2	541.8676000554115
180	catch	8	574.4207000825554
200	catch	3	471.2499000597745
212	catch	6	847.5637999363244
218	catch	15	592.5251001026481
240	catch	10	488.6720001231879
278	catch	7	426.4648000244051
294	catch	8	491.5376000571996
296	catch	5	491.3837001658976
298	catch	13	387.9039001185447
