onset	trial_type	obj_pair	reaction_time
26	catch	1	564.1467999666929
108	catch	15	870.3712000278756
122	catch	10	701.0581999784335
134	catch	2	717.4836000194773
176	catch	14	762.8406999865547
182	catch	1	762.6507999957539
216	catch	14	793.4871999896131
218	catch	12	689.1046999953687
256	catch	16	630.7025999994949
280	catch	5	740.6542000244372
292	catch	15	732.5732000172138
330	catch	7	721.7972000362352
336	catch	2	833.3659000345506
338	catch	12	720.6450999947265
350	catch	3	704.5962000265718
358	catch	8	632.0567999500781
