onset	trial_type	obj_pair	reaction_time
16	catch	16	533.063145357346
44	catch	15	563.3771830985097
50	catch	9	467.4719053741683
54	catch	8	538.9710157796799
64	catch	9	642.3482613527085
84	catch	4	528.6502040019059
142	catch	9	562.7560066025126
176	catch	3	767.4684692683513
216	catch	5	708.2018948560744
266	catch	13	623.8231896072648
276	catch	1	511.47012216915755
292	catch	10	549.5774259463815
302	catch	8	484.31819409006494
308	catch	4	435.7329994211341
316	catch	3	571.5899217684637
326	catch	10	441.9697542382437
