onset	trial_type	obj_pair	reaction_time
14	catch	13	572.6286999415606
30	catch	4	549.6769000310451
44	catch	14	429.9773001112044
46	catch	10	694.7569998446852
48	catch	9	566.4683999493718
116	catch	7	609.2552000191063
164	catch	4	1035.5474001262337
166	catch	8	603.391099954024
198	catch	11	709.3717001844198
208	catch	10	445.85920008830726
220	catch	5	494.22929994761944
232	catch	6	494.985300116241
242	catch	16	743.6399001162499
254	catch	16	439.68609999865294
278	catch	9	680.3823001682758
334	catch	1	563.3552998770028
