onset	trial_type	obj_pair	reaction_time
48	catch	2	456.7282547968716
76	catch	11	478.57118632282436
92	catch	12	453.5148252402905
126	catch	6	490.15488364557314
132	catch	14	458.22586201666127
136	catch	13	545.317790824356
172	catch	2	470.36156772173854
180	catch	8	463.96996217617925
200	catch	3	468.23385877542023
212	catch	6	396.1818155853507
218	catch	15	411.57022064271587
240	catch	10	465.8794560059505
278	catch	7	471.1215275237919
294	catch	8	500.7938746257423
296	catch	5	428.0876323346092
298	catch	13	363.4299132313572
