onset	trial_type	obj_pair	reaction_time
18	catch	6	423.0549999047071
52	catch	3	361.1998001579195
76	catch	9	506.37930002994835
120	catch	2	452.06380006857216
148	catch	7	525.0211001839489
156	catch	12	437.73260014131665
238	catch	12	585.2101999334991
240	catch	4	513.7713002040982
280	catch	14	531.7112000193447
284	catch	6	451.70039986260235
300	catch	5	412.0032999198884
304	catch	13	444.21819993294775
316	catch	4	428.47990011796355
330	catch	5	413.3816999383271
334	catch	14	437.1349001303315
354	catch	7	606.8696000147611
