onset	trial_type	obj_pair	reaction_time
40	catch	2	672.3241897266234
58	catch	9	623.8992195135324
72	catch	14	575.1226064412549
120	catch	10	674.8673529950793
162	catch	13	654.1155155719025
170	catch	16	573.3273536193337
188	catch	11	756.1901191925244
208	catch	11	579.0415500846393
236	catch	15	624.3677791612754
242	catch	15	623.8309436789677
246	catch	1	584.0819131517492
302	catch	12	700.5185393436477
312	catch	5	666.2338068017561
322	catch	8	648.8123128547159
330	catch	2	553.742899090139
336	catch	6	601.0495736109078
