onset	trial_type	obj_pair	reaction_time
14	catch	13	499.3667734097471
30	catch	4	449.3543677017442
44	catch	14	400.0077647233411
46	catch	10	520.8697025836955
48	catch	9	399.4611103380521
116	catch	7	483.68113939704926
164	catch	4	495.1265203690127
166	catch	8	406.95897727073316
198	catch	11	508.94594324472564
208	catch	10	491.6082973659286
220	catch	5	530.961165673034
232	catch	6	408.66141521473764
242	catch	16	512.1982021537406
254	catch	16	479.29942558857874
278	catch	9	445.0324511890358
334	catch	1	567.7436427440625
